hebrew,pronunciation,polish,description
"",toda raba, dziekuje bardzo,""
"",boker tov, dzien dobry,""
"",nifla,pięknie,""
"",ma slomha,jak sie masz,""
"",ani baavoda,jestem w pracy,""
"",hakol beseder,wszystko w porządku,""
"",ma korech,co sie dzieje,""
"",yom sababa,miły dzień,""
"",bevakasha,proszę,""
"",ata zodek,masz rację,""
"",vechag sameach,wesołego święta,""
"",lirkaw,jechać,""
"",beboker zeh,tego ranka,""
"",toda raba al hahesberg,dziekuje bardzo za wyjaśnienia,""
"",hakol beseder,wszystko w porządku,""
"",ve ata,i ty,""
"",yom sababa,miły dzień,""
"",ve laila skaket,i cicha noc,""
"",ani holech leechol aruchat erev,ide zjesc kolacje,""
"",beteavon,powtórz,""
"",ata owed,czy ty pracujesz,""
"",ani sameach,jestem wesoły,""
"",eich avar halajla,jak mineła noc,""
"",tov meod,bardzo dobrze,""
"",mamad,schron,""
"",gam lecha,tez tobie,""
"",ken,tak,""
"",lo,nie,""
"",gam ani,ja też,""
"",yom tow,dobrego dnia,""
"",aruchat boker,śniedanie,""
"",laila shaket,cicha noc,""
"",baruch hashem,dzięki Bogu,""
"",ma shlomcha hayom,jak sie dziś czujesz,""
"",yom rishon meworach,błogosławiona niedziela,""
"",al lo davar,nie ma za co,""
"",----,----,""
"",vegam avoda neima,i tez miłej pracy,""
"",ata mevin,rozumiesz,""
"",ken bedijur,tak dokładnie,""
"",ata nach,odpoczywasz,""
"",avadeta kasze,pracowałeś ciężko,""
"",az magiha lecha,to ci sie należy,""
"",bait,dom,""
"",babait,w domu,""
"",veavoda neima,i pracy miłej,""
"",ani mekaveh,ja mam nadzieje,""
"",szeta lo ayef kvar,ze ty nie jestes juz zmeczony,""
"",ani lo ayef kvar,ja nie jestem juz zmeczony,""
"",----,----,""
